xtime    [s],xdist    [m],MM5_ax   [g],MM5_ay   [g],MM5_az   [g],MM5_rollRate[ｰ/s],MM5_yawRate[ｰ/s]
2.55,0,-0.008982,-0.014638,-0.994548,0.128,0.065
2.56,0,-0.009237,-0.013772,-0.994166,0.221,0.077
2.57,0,-0.009033,-0.012447,-0.992612,0.264,0.068
2.58,0,-0.009186,-0.011759,-0.992765,0.202,0.045
2.59,0,-0.009338,-0.012065,-0.994319,0.117,0.04
2.6,0,-0.008752,-0.01288,-0.995287,0.092,0.04
2.61,0,-0.007988,-0.013466,-0.994625,0.09,0.028
2.62,0,-0.008447,-0.014587,-0.992077,0.09,0.001
2.63,0,-0.009721,-0.015454,-0.98986,0.122,-0.005
2.64,0,-0.010205,-0.015912,-0.990267,0.154,-0.005
2.65,0,-0.010052,-0.014868,-0.992408,0.16,0.019
2.66,0,-0.009899,-0.012957,-0.994319,0.148,0.045
2.67,0,-0.008854,-0.012243,-0.995287,0.109,0.05
2.68,0,-0.006663,-0.01288,-0.995746,0.068,0.062
2.69,0,-0.005567,-0.013364,-0.99572,0.06,0.089
2.7,0,-0.006841,-0.013543,-0.995491,0.048,0.095
2.71,0,-0.008829,-0.013874,-0.99595,0.033,0.083
2.72,0,-0.009338,-0.014664,-0.996892,0.01,0.036
2.73,0,-0.008752,-0.014944,-0.996892,0.073,0.001
2.74,0,-0.008498,-0.014154,-0.995924,0.154,0.007
2.75,0,-0.00888,-0.012422,-0.994981,0.162,0.034
2.76,0,-0.009186,-0.010918,-0.995007,0.112,0.072
2.77,0,-0.009746,-0.010638,-0.995975,0.112,0.08
2.78,0,-0.010179,-0.011453,-0.996408,0.159,0.068
2.79,0,-0.00995,-0.01288,-0.995542,0.17,0.053
2.8,0,-0.009874,-0.014613,-0.994803,0.126,0.05
2.81,0,-0.010587,-0.01497,-0.994777,0.071,0.03
2.82,0,-0.011275,-0.01446,-0.993886,0.036,0.025
2.83,0,-0.010893,-0.014333,-0.99172,0.03,0.045
2.84,0,-0.010154,-0.014027,-0.989707,0.03,0.05
2.85,0,-0.009389,-0.013645,-0.990242,0.054,0.05
2.86,0,-0.009033,-0.013466,-0.99251,0.084,0.042
2.87,0,-0.00888,-0.013237,-0.994038,0.078,0.016
2.88,0,-0.007835,-0.013186,-0.993988,0.051,0.022
2.89,0,-0.006969,-0.013186,-0.993605,0.033,0.025
2.9,0,-0.00702,-0.013186,-0.993529,0.03,0.001
2.91,0,-0.007682,-0.013186,-0.993325,0.042,0.007
2.92,0,-0.008752,-0.013186,-0.992663,0.089,0.034
2.93,0,-0.009186,-0.013492,-0.992815,0.156,0.04
2.94,0,-0.008625,-0.013874,-0.994319,0.17,0.048
2.95,0,-0.007759,-0.013543,-0.996306,0.082,0.05
2.96,0,-0.007173,-0.01232,-0.996816,-0.028,0.05
2.97,0,-0.006867,-0.01102,-0.995109,-0.062,0.042
2.98,0,-0.006714,-0.011071,-0.993045,-0.021,0.028
2.99,0,-0.0073,-0.012778,-0.992943,0.022,0.025
3,0,-0.00837,-0.014817,-0.994038,0.03,0.057
3.01,0,-0.008905,-0.016142,-0.995109,0.022,0.065
3.02,0,-0.008676,-0.016371,-0.996434,0.028,0.045
3.03,0,-0.008803,-0.015861,-0.997122,0.066,0.028
3.04,0,-0.009466,-0.015326,-0.996816,0.119,0.025
