xtime    [s],xdist    [m],MM5_ax   [g],MM5_ay   [g],MM5_az   [g],MM5_rollRate[?/s],MM5_yawRate[?/s]
1.5,0,-0.001694,-0.018613,-0.99121,0.036,0.196
1.51,0,-0.001363,-0.019225,-0.991389,0.02,0.144
1.52,0,-0.000675,-0.019734,-0.993274,0.062,0.105
1.53,0,-0.000319,-0.019862,-0.995211,0.114,0.095
1.54,0,-0.001006,-0.019276,-0.995211,0.121,0.086
1.55,0,-0.001694,-0.01846,-0.994039,0.106,0.08
1.56,0,-0.002077,-0.018307,-0.993605,0.085,0.08
1.57,0,-0.002688,-0.018868,-0.994726,0.048,0.08
1.58,0,-0.004064,-0.019174,-0.995669,-0.003,0.08
1.59,0,-0.005771,-0.018715,-0.994752,-0.034,0.089
1.6,0,-0.006587,-0.018409,-0.99228,0.002,0.11
1.61,0,-0.005695,-0.018486,-0.989809,0.072,0.129
1.62,0,-0.00358,-0.018231,-0.989172,0.094,0.126
1.63,0,-0.001771,-0.017492,-0.991083,0.039,0.087
1.64,0,-0.000369,-0.017288,-0.993784,-0.037,0.05
1.65,0,0.000726,-0.018307,-0.995414,-0.056,0.04
1.66,0,0.001006,-0.020371,-0.995363,0.007,0.064
1.67,0,0.000191,-0.022563,-0.993988,0.045,0.113
1.68,0,-0.001389,-0.023454,-0.992663,0.003,0.153
1.69,0,-0.002561,-0.022359,-0.992026,-0.034,0.165
1.7,0,-0.002637,-0.019454,-0.992255,0.002,0.165
1.71,0,-0.00172,-0.016193,-0.992739,0.09,0.174
1.72,0,-0.000905,-0.014358,-0.99228,0.139,0.186
1.73,0,-0.000548,-0.013721,-0.991643,0.103,0.19
1.74,0,-0.000599,-0.014027,-0.991261,0.057,0.157
1.75,0,-0.001236,-0.015708,-0.991491,0.063,0.102
1.76,0,-0.002586,-0.017543,-0.99358,0.09,0.071
1.77,0,-0.003631,-0.018766,-0.99595,0.085,0.074
1.78,0,-0.004191,-0.019021,-0.996408,0.075,0.104
1.79,0,-0.004778,-0.018231,-0.996357,0.075,0.138
1.8,0,-0.004879,-0.017619,-0.997071,0.042,0.15
1.81,0,-0.004319,-0.01767,-0.997555,0.002,0.15
1.82,0,-0.003784,-0.017772,-0.997071,0.008,0.159
1.83,0,-0.003554,-0.017925,-0.996179,0.062,0.165
1.84,0,-0.003809,-0.018104,-0.995211,0.138,0.132
1.85,0,-0.004013,-0.018537,-0.993427,0.206,0.092
1.86,0,-0.004013,-0.019021,-0.991516,0.212,0.089
1.87,0,-0.003937,-0.019785,-0.991465,0.149,0.119
1.88,0,-0.003504,-0.020422,-0.992484,0.073,0.162
1.89,0,-0.002561,-0.020193,-0.993274,0.03,0.18
1.9,0,-0.001261,-0.01925,-0.994217,0.011,0.162
1.91,0,-0.000166,-0.01818,-0.995058,0.005,0.141
1.92,0,0.000038,-0.017314,-0.996153,0.014,0.135
1.93,0,-0.000293,-0.016855,-0.998625,0.053,0.126
1.94,0,-0.000828,-0.016906,-1.000587,0.075,0.105
1.95,0,-0.001389,-0.017237,-0.999517,0.075,0.086
1.96,0,-0.001745,-0.018002,-0.996434,0.057,0.08
1.97,0,-0.00223,-0.019021,-0.993835,0.063,0.08
1.98,0,-0.003096,-0.019429,-0.992561,0.108,0.08
1.99,0,-0.003962,-0.018435,-0.992714,0.154,0.113
2,0,-0.004497,-0.01632,-0.993402,0.155,0.153
2.01,0,-0.004268,-0.014434,-0.993274,0.112,0.165
2.02,0,-0.003402,-0.014282,-0.993172,0.096,0.18
2.03,0,-0.002765,-0.015657,-0.994344,0.142,0.19
2.04,0,-0.002612,-0.0166,-0.995516,0.179,0.19
2.05,0,-0.002612,-0.016753,-0.995363,0.161,0.19
2.06,0,-0.002765,-0.016906,-0.995746,0.145,0.19
2.07,0,-0.002943,-0.017849,-0.996816,0.16,0.19
2.08,0,-0.002994,-0.020091,-0.996306,0.155,0.19
2.09,0,-0.003758,-0.022359,-0.994625,0.118,0.19
2.1,0,-0.005185,-0.023123,-0.99437,0.043,0.19
2.11,0,-0.007096,-0.021671,-0.995746,-0.046,0.19
2.12,0,-0.009568,-0.018104,-0.997071,-0.056,0.184
2.13,0,-0.011555,-0.014001,-0.997249,0.029,0.153
2.14,0,-0.012167,-0.011963,-0.996332,0.09,0.12
2.15,0,-0.011479,-0.013186,-0.995211,0.067,0.101
2.16,0,-0.009797,-0.017186,-0.994268,0.03,0.077
2.17,0,-0.0073,-0.021926,-0.9933,0.062,0.05
2.18,0,-0.004191,-0.025289,-0.992968,0.096,0.04
2.19,0,-0.001796,-0.026461,-0.993631,0.076,0.064
2.2,0,-0.001771,-0.024728,-0.995262,0.069,0.131
2.21,0,-0.004141,-0.020906,-0.997224,0.084,0.189
2.22,0,-0.006255,-0.016422,-0.999364,0.09,0.214
2.23,0,-0.007275,-0.013288,-1.000587,0.081,0.22
2.24,0,-0.009874,-0.012269,-0.99781,0.048,0.202
2.25,0,-0.012396,-0.012778,-0.991694,0.039,0.184
2.26,0,-0.012218,-0.014868,-0.988943,0.063,0.171
2.27,0,-0.013415,-0.017747,-0.992841,0.09,0.138
2.28,0,-0.019709,-0.020601,-0.998115,0.085,0.105
2.29,0,-0.028168,-0.022486,-0.998217,0.057,0.11
2.3,0,-0.032602,-0.023225,-0.993045,0.063,0.156
2.31,0,-0.030563,-0.023837,-0.986751,0.075,0.195
2.32,0,-0.025136,-0.024754,-0.983745,0.033,0.205
2.33,0,-0.021212,-0.025009,-0.98563,-0.022,0.205
2.34,0,-0.02134,-0.023607,-0.989987,-0.013,0.214
2.35,0,-0.025009,-0.02083,-0.992943,0.02,0.238
2.36,0,-0.029085,-0.018104,-0.99251,0.039,0.256
2.37,0,-0.029824,-0.01683,-0.99014,0.021,0.245
2.38,0,-0.026461,-0.016931,-0.988841,0.005,0.244
2.39,0,-0.021467,-0.018588,-0.989376,0.029,0.25
2.4,0,-0.016524,-0.02139,-0.991287,0.063,0.25
2.41,0,-0.012676,-0.023531,-0.995007,0.048,0.256
2.42,0,-0.011555,-0.023684,-1.000281,-0.012,0.287
2.43,0,-0.013874,-0.021773,-1.003797,-0.055,0.314
2.44,0,-0.017874,-0.019327,-1.002931,-0.05,0.32
2.45,0,-0.019479,-0.018256,-0.999058,-0.031,0.32
2.46,0,-0.016753,-0.018307,-0.994395,-0.049,0.302
2.47,0,-0.011377,-0.018639,-0.99014,-0.074,0.272
2.48,0,-0.005924,-0.019174,-0.987337,-0.02,0.278
2.49,0,-0.002204,-0.019429,-0.988662,0.068,0.314
2.5,0,-0.001694,-0.019276,-0.994293,0.109,0.339
2.51,0,-0.004013,-0.018715,-1.000307,0.073,0.336
2.52,0,-0.008039,-0.017645,-1.003288,0.003,0.288
2.53,0,-0.012855,-0.017518,-1.002014,-0.034,0.227
2.54,0,-0.016982,-0.019072,-0.997733,-0.04,0.223
2.55,0,-0.018868,-0.021161,-0.993019,-0.04,0.259
2.56,0,-0.01711,-0.021824,-0.989478,-0.046,0.308
2.57,0,-0.011606,-0.019964,-0.987923,-0.05,0.366
2.58,0,-0.004268,-0.016881,-0.989121,0.016,0.414
2.59,0,0.001771,-0.014154,-0.992459,0.126,0.412
2.6,0,0.003835,-0.012574,-0.997173,0.164,0.367
2.61,0,0.000905,-0.012549,-1.00316,0.118,0.312
2.62,0,-0.006816,-0.014103,-1.008664,0.063,0.281
2.63,0,-0.017823,-0.017492,-1.010218,0.036,0.275
2.64,0,-0.028805,-0.022308,-1.007212,0.024,0.293
2.65,0,-0.036831,-0.026385,-1.001479,0.002,0.32
2.66,0,-0.040424,-0.027098,-0.994064,-0.001,0.348
2.67,0,-0.038182,-0.024474,-0.985656,0.029,0.384
2.68,0,-0.030512,-0.021085,-0.979286,0.096,0.4
2.69,0,-0.020957,-0.019276,-0.978419,0.148,0.409
2.7,0,-0.014307,-0.01869,-0.985019,0.118,0.415
2.71,0,-0.014562,-0.017696,-0.997733,0.039,0.415
2.72,0,-0.024321,-0.016677,-1.011849,-0.055,0.415
2.73,0,-0.042106,-0.018511,-1.022016,-0.095,0.433
2.74,0,-0.061955,-0.023531,-1.023442,-0.044,0.445
2.75,0,-0.074949,-0.028678,-1.012919,0.023,0.445
2.76,0,-0.074593,-0.03143,-0.992892,0.036,0.469
2.77,0,-0.061343,-0.031582,-0.972482,0.048,0.527
2.78,0,-0.042743,-0.029289,-0.961934,0.078,0.564
2.79,0,-0.028296,-0.024983,-0.965934,0.081,0.579
2.8,0,-0.024907,-0.019174,-0.981808,0.057,0.609
2.81,0,-0.034156,-0.013262,-1.001861,0.021,0.607
2.82,0,-0.05082,-0.010026,-1.01669,-0.013,0.562
2.83,0,-0.064885,-0.011428,-1.01934,-0.025,0.525
2.84,0,-0.067688,-0.017925,-1.008562,0.002,0.506
2.85,0,-0.058311,-0.026996,-0.990726,0.053,0.518
2.86,0,-0.043023,-0.034436,-0.975973,0.057,0.545
2.87,0,-0.030003,-0.037112,-0.97131,0.012,0.597
2.88,0,-0.025671,-0.033672,-0.978547,-0.043,0.676
2.89,0,-0.032398,-0.025544,-0.99358,-0.083,0.752
2.9,0,-0.046514,-0.016218,-1.011416,-0.086,0.804
2.91,0,-0.064324,-0.009797,-1.028921,-0.047,0.811
2.92,0,-0.088352,-0.009644,-1.044642,0.008,0.772
2.93,0,-0.123922,-0.014358,-1.055878,0.081,0.726
2.94,0,-0.165862,-0.019658,-1.055802,0.175,0.719
2.95,0,-0.195342,-0.023811,-1.036819,0.272,0.749
2.96,0,-0.194476,-0.027811,-1.000077,0.379,0.798
2.97,0,-0.162677,-0.032474,-0.959641,0.509,0.88
2.98,0,-0.119488,-0.037366,-0.935307,0.589,0.995
2.99,0,-0.091715,-0.039991,-0.941448,0.53,1.111
3,0,-0.094951,-0.037239,-0.973451,0.33,1.191
3.01,0,-0.123591,-0.028678,-1.009327,0.077,1.239
3.02,0,-0.156205,-0.018741,-1.027927,-0.109,1.237
3.03,0,-0.16976,-0.013823,-1.022627,-0.09,1.243
3.04,0,-0.156333,-0.016881,-1.002039,0.17,1.279
3.05,0,-0.129502,-0.025391,-0.9814,0.52,1.313
3.06,0,-0.111844,-0.034029,-0.973705,0.771,1.334
3.07,0,-0.115743,-0.039507,-0.982114,0.845,1.373
