xtime    [s],xdist    [m],MM5_ax   [g],MM5_ay   [g],MM5_az   [g],MM5_rollRate[?/s],MM5_yawRate[?/s]
1.82,0,-0.12038,-0.014893,-0.980636,0.259,0.296
1.83,0,-0.106315,-0.012855,-0.968406,0.376,0.266
1.84,0,-0.097423,-0.018256,-0.969145,0.41,0.223
1.85,0,-0.099894,-0.028219,-0.981681,0.368,0.196
1.86,0,-0.113628,-0.036908,-0.998472,0.256,0.226
1.87,0,-0.129884,-0.041876,-1.009913,0.116,0.307
1.88,0,-0.136687,-0.041571,-1.009046,-0.006,0.378
1.89,0,-0.127744,-0.036627,-0.9973,-0.035,0.409
1.9,0,-0.108099,-0.031939,-0.985197,0.035,0.382
1.91,0,-0.090314,-0.031735,-0.982318,0.141,0.351
1.92,0,-0.086543,-0.034156,-0.988739,0.185,0.372
1.93,0,-0.100812,-0.035608,-0.997249,0.128,0.447
1.94,0,-0.125578,-0.034793,-1.002549,0.039,0.527
1.95,0,-0.145707,-0.033009,-1.001606,0.038,0.579
1.96,0,-0.149249,-0.032678,-0.992306,0.111,0.622
1.97,0,-0.135694,-0.035455,-0.978139,0.178,0.682
1.98,0,-0.115157,-0.040424,-0.967998,0.191,0.743
1.99,0,-0.103105,-0.044526,-0.966775,0.143,0.789
2,0,-0.1108,-0.043889,-0.97368,0.115,0.856
2.01,0,-0.13549,-0.037112,-0.985095,0.184,0.923
2.02,0,-0.160307,-0.030232,-0.995669,0.32,0.981
2.03,0,-0.169404,-0.030614,-1.001071,0.482,1.053
2.04,0,-0.15967,-0.039099,-0.99967,0.532,1.163
2.05,0,-0.138497,-0.051737,-0.993631,0.352,1.263
2.06,0,-0.117858,-0.063866,-0.988892,0.015,1.355
2.07,0,-0.108226,-0.073242,-0.992331,-0.336,1.455
2.08,0,-0.112583,-0.076962,-1.005759,-0.623,1.543
2.09,0,-0.126674,-0.069242,-1.021888,-0.74,1.635
2.1,0,-0.142242,-0.049597,-1.029277,-0.549,1.717
2.11,0,-0.150396,-0.02776,-1.021837,-0.046,1.787
2.12,0,-0.148103,-0.016728,-1.00288,0.518,1.824
2.13,0,-0.140051,-0.024932,-0.983974,0.814,1.854
2.14,0,-0.133171,-0.05138,-0.974827,0.576,1.912
2.15,0,-0.131719,-0.082415,-0.972228,-0.124,2.042
2.16,0,-0.13791,-0.100914,-0.968253,-0.811,2.269
2.17,0,-0.150064,-0.096964,-0.965628,-0.994,2.525
2.18,0,-0.161046,-0.076274,-0.968508,-0.576,2.736
2.19,0,-0.162371,-0.055559,-0.972508,0.136,2.9
2.2,0,-0.152052,-0.046641,-0.974164,0.665,3.038
2.21,0,-0.137095,-0.05268,-0.97526,0.707,3.138
2.22,0,-0.126827,-0.066235,-0.980712,0.299,3.221
2.23,0,-0.125858,-0.074109,-0.993529,-0.261,3.306
2.24,0,-0.133044,-0.069293,-1.009301,-0.536,3.406
2.25,0,-0.144281,-0.056757,-1.019009,-0.309,3.534
2.26,0,-0.152332,-0.049546,-1.016563,0.192,3.707
2.27,0,-0.151033,-0.054744,-1.002396,0.593,3.905
2.28,0,-0.141096,-0.066567,-0.98191,0.7,4.075
2.29,0,-0.128432,-0.074873,-0.965883,0.555,4.186
2.3,0,-0.118189,-0.077396,-0.966316,0.324,4.295
2.31,0,-0.111972,-0.077039,-0.982674,0.161,4.423
2.32,0,-0.109908,-0.079536,-1.000332,0.157,4.55
2.33,0,-0.111437,-0.085371,-1.007849,0.278,4.699
2.34,0,-0.114698,-0.086364,-1.004842,0.448,4.891
2.35,0,-0.115896,-0.080479,-0.995924,0.598,5.092
2.36,0,-0.11345,-0.072987,-0.986318,0.674,5.272
2.37,0,-0.110621,-0.067229,-0.98163,0.657,5.466
2.38,0,-0.11029,-0.067127,-0.981146,0.524,5.676
2.39,0,-0.11401,-0.074771,-0.978241,0.3,5.835
2.4,0,-0.121145,-0.087995,-0.97047,0.098,5.936
2.41,0,-0.125706,-0.100302,-0.964507,0.039,6.012
2.42,0,-0.122291,-0.106672,-0.970571,0.129,6.139
2.43,0,-0.113246,-0.10871,-0.988331,0.254,6.331
2.44,0,-0.104455,-0.107436,-1.003797,0.273,6.583
2.45,0,-0.101117,-0.098213,-1.003313,0.171,6.857
2.46,0,-0.105704,-0.07737,-0.987363,0.1,7.073
2.47,0,-0.114596,-0.056375,-0.975871,0.198,7.196
2.48,0,-0.117883,-0.05268,-0.987847,0.396,7.263
2.49,0,-0.109577,-0.068197,-1.01404,0.513,7.342
2.5,0,-0.096174,-0.090085,-1.034959,0.484,7.491
2.51,0,-0.08718,-0.103767,-1.041661,0.393,7.691
2.52,0,-0.086008,-0.105322,-1.033329,0.304,7.901
2.53,0,-0.090645,-0.097193,-1.016741,0.312,8.102
2.54,0,-0.096786,-0.084224,-1.000358,0.466,8.282
2.55,0,-0.103614,-0.077982,-0.983439,0.667,8.431
2.56,0,-0.112838,-0.083715,-0.961144,0.721,8.569
2.57,0,-0.121833,-0.092276,-0.939639,0.546,8.694
2.58,0,-0.123973,-0.093856,-0.929472,0.338,8.833
2.59,0,-0.117297,-0.090722,-0.934594,0.27,8.985
2.6,0,-0.107589,-0.087103,-0.949678,0.354,9.114
2.61,0,-0.102086,-0.084301,-0.968253,0.494,9.244
2.62,0,-0.100582,-0.083536,-0.992535,0.568,9.417
2.63,0,-0.098646,-0.085931,-1.019111,0.529,9.603
2.64,0,-0.096149,-0.093422,-1.029685,0.402,9.786
2.65,0,-0.096302,-0.099996,-1.014091,0.256,9.968
2.66,0,-0.100302,-0.101117,-0.986318,0.233,10.19
2.67,0,-0.10578,-0.097652,-0.968915,0.381,10.41
2.68,0,-0.107972,-0.087817,-0.970648,0.675,10.538
2.69,0,-0.104608,-0.079179,-0.985579,0.992,10.564
2.7,0,-0.098085,-0.088199,-1.004638,1.083,10.56
2.71,0,-0.092556,-0.118062,-1.013301,0.78,10.635
2.72,0,-0.094289,-0.148383,-0.997325,0.206,10.82
2.73,0,-0.103971,-0.154014,-0.967463,-0.278,11.102
2.74,0,-0.111997,-0.131719,-0.952022,-0.364,11.407
2.75,0,-0.112405,-0.100047,-0.961093,-0.068,11.609
2.76,0,-0.108914,-0.075,-0.982037,0.361,11.689
2.77,0,-0.104965,-0.059661,-0.997988,0.721,11.714
2.78,0,-0.101321,-0.055585,-1.001504,0.953,11.744
2.79,0,-0.096964,-0.066847,-0.999033,0.974,11.793
2.8,0,-0.091078,-0.092352,-0.997249,0.706,11.899
2.81,0,-0.086874,-0.118291,-0.990726,0.322,12.09
2.82,0,-0.087486,-0.123259,-0.974037,0.17,12.33
2.83,0,-0.09304,-0.099359,-0.954239,0.44,12.541
2.84,0,-0.10257,-0.062821,-0.943817,0.971,12.666
2.85,0,-0.111462,-0.039125,-0.949194,1.484,12.706
