Time_s,Ax_g,Ay_g,Az_g,RollRate_deg_s,YawRate_deg_s
99.01,0.878547536209409,-0.606191996026455,-1.07518619358285,-0.831,-44.77
99.02,0.889391982866985,-0.577059458040345,-0.972725041556766,-1.44,-48.078
99.03,0.868911769708554,-0.602142415923013,-0.823788187722668,-1.175,-51.05
99.04,0.81146814040803,-0.680585540607525,-0.689718207203562,0.461,-53.571
99.05,0.729308504166134,-0.775058480392856,-0.633902554702014,1.758,-55.531
99.06,0.633756154857555,-0.885965016292684,-0.669825763046769,0.584,-56.827
99.07,0.556667382997225,-1.0141665261277,-0.760696597333011,-3.2470000000063,-57.5530000000007
99.08,0.527957457310274,-1.10716589299778,-0.859142998164402,-7.68,-58.017
99.09,0.543482933929848,-1.14298880726232,-0.94391249741249,-10.36,-58.614
99.1,0.578162842016638,-1.1322321757117,-1.02667962082474,-10.4319999999972,-59.6560000000022
99.11,0.609721355326705,-1.06835382230908,-1.12619359407619,-8.471,-61.225
99.12,0.635200570755396,-0.98778453875202,-1.23878525689602,-5.535,-63.135
99.13,0.665739240705678,-0.947004731671689,-1.33194891365987,-2.496,-65.093
99.14,0.703690255063176,-0.944875529339363,-1.37448174052298,0.31,-66.924
99.15,0.735833135472796,-0.953378049467967,-1.3625012401788,2.884,-68.569
99.16,0.740951255221603,-0.936764230063604,-1.31181129324454,5.005,-69.951
99.17,0.701511563379019,-0.902843031753395,-1.24508993321509,6.133,-70.716
99.18,0.620062626619814,-0.885626571519885,-1.17835160788683,5.932,-70.452
99.19,0.522290916162309,-0.888805230948186,-1.11415972375029,4.688,-69.137
99.2,0.440488688980542,-0.900140970396381,-1.05712595806301,3.061,-67.129
99.21,0.390450744839602,-0.910503229506217,-1.01044952675334,1.56399999999857,-64.9009999999971
99.22,0.366253460733143,-0.899637972310884,-0.964489934562625,0.557,-62.862
99.23,0.354503640885536,-0.862262831627811,-0.908113674850803,0.282,-61.221
99.24,0.346896652078213,-0.807714119605542,-0.848844097856248,0.567000000000705,-60.0199999999989
99.25,0.339828321291162,-0.755459305948322,-0.808800303942302,1.063,-59.217
99.26,0.326859157293377,-0.72824492460007,-0.794884760476767,1.662,-58.745
99.27,0.29152974325874,-0.704810926094855,-0.786079774951946,2.475,-58.554
99.28,0.226167728614497,-0.665231528670031,-0.754623506476977,3.424,-58.487
99.29,0.157468721665006,-0.632107923223164,-0.697534793014949,4.086,-58.321
99.3,0.126714694207391,-0.657834033860256,-0.62992214249358,4.093,-57.94
99.31,0.150981101398542,-0.737388769090895,-0.568963052750538,3.396,-57.498
99.32,0.206556939110565,-0.796174782242734,-0.535667460073604,2.22999999999818,-57.264
99.33,0.254689137372153,-0.805492702054342,-0.545748191992334,0.948,-57.28
99.34,0.275282684369335,-0.809441348754994,-0.604667833020846,-0.208,-57.404
99.35,0.267904804833439,-0.829577556455806,-0.705565309712199,-1.29400000000183,-57.5680000000003
99.36,0.243902565475011,-0.849095967505787,-0.823602467706923,-2.579,-57.766
