Time_s,Ax_g,Ay_g,Az_g,RollRate_deg_s,YawRate_deg_s
77.35,0.0744030882701601,0.5121980014313,-1.18706505640636,1.70600000000143,46.6730000000013
77.36,0.166420012281837,0.5346364220649,-1.13861083881376,2.709,47.617
77.37,0.216729056314224,0.530396711580688,-1.07180808846015,3.055,48.724
77.38,0.215311585027836,0.526452864873473,-1.03129780518759,1.97,49.695
77.39,0.182730330500902,0.531122535423093,-1.04272138412842,-0.366,50.471
77.4,0.148581964361017,0.558772201944477,-1.06781366501874,-3,51.011
77.41,0.137238674008081,0.596141689322877,-1.05726428819338,-4.748,51.358
77.42,0.152685423678932,0.636430025047047,-0.999396389177649,-4.98,51.574
77.43,0.176914491062799,0.676210638676939,-0.929922284696995,-3.804,51.711
77.44,0.185965474123164,0.694591289465867,-0.880790459125194,-2.03,51.809
77.45,0.17338769731978,0.708906232916451,-0.867110823797504,-0.62,51.782
77.46,0.150764631458182,0.728731562792293,-0.89294073117439,-0.08,51.5969999999998
77.47,0.127820907368271,0.731455746445983,-0.922535685332228,-0.08,51.431
77.48,0.107141418033127,0.721952558131572,-0.922384739255251,-0.063,51.398
77.49,0.0922070028454198,0.70910661710385,-0.900578483770761,0.133,51.48
77.5,0.0905460565848581,0.718554602655154,-0.89621450342296,0.61,51.53
77.51,0.102431462104905,0.738032820543117,-0.929431108144111,1.552,51.53
77.52,0.108284892227905,0.743331181578168,-0.965952558176891,2.938,51.528
77.53,0.0925181982476013,0.726881622688893,-0.976956123447545,4.392,51.489
77.54,0.067415099836441,0.703762585279477,-0.986922365581038,5.57,51.33
77.55,0.0590484983313815,0.675134343789702,-1.04606874166013,6.309,51.138
77.56,0.085921712393003,0.665994073282395,-1.17620340706368,6.498,50.977
77.57,0.149466868457821,0.667649460464957,-1.35513108847576,6.19299999999901,50.907
77.58,0.219159618396641,0.678345559094828,-1.51061206049828,5.495,50.939
77.59,0.25973367289052,0.690381338691929,-1.56938567423019,3.862,51.03
77.6,0.261050441491346,0.705871643507587,-1.51568087851434,0.48499999999342,51.2030000000005
77.61,0.228570323090343,0.719282728564118,-1.37609649377693,-4.145,51.576
77.62,0.17934141703241,0.692400413169842,-1.19065984015818,-7.878,52.288
77.63,0.130474203467264,0.689097850108805,-0.998293490369386,-8.918,52.919
77.64,0.0939013582105258,0.726054152123346,-0.840940148607498,-7.191,52.997
77.65,0.0683651322312424,0.750963261518771,-0.737246799995936,-3.982,52.481
77.66,0.046358356971066,0.74041941220098,-0.671659831106819,-0.674,51.597
77.67,0.0266474718371581,0.688330607074439,-0.628736568961944,1.923,50.741
77.68,0.0123815839822427,0.648237142507572,-0.605151384566922,3.372,50.126
77.69,0.0162150969863585,0.640391499807882,-0.606631068337049,3.528,49.823
77.7,0.0367118723782386,0.641238688935793,-0.616690419270606,2.586,49.847
77.71,0.0578577910821654,0.600699631094702,-0.614095818856012,0.988999999997831,50.2330000000008
77.72,0.0743484368404994,0.558987232055118,-0.607399282014447,-0.537,50.794
77.73,0.0911664758578788,0.591104594121703,-0.60526604323602,-1.175,51.234
77.74,0.111894092873091,0.651584404420434,-0.606095561196641,-0.592,51.629
