Time_s,Ax_g,Ay_g,Az_g,RollRate_deg_s,YawRate_deg_s
64.24,-0.433751605982482,0.374363079186917,-0.894079843751221,-7.081,27.212
64.25,-0.47735420837214,0.476772954788739,-0.897485551567806,-4.113,21.021
64.26,-0.502478556414741,0.524570461138183,-0.946696670584497,-0.933,16.289
64.27,-0.511417811474856,0.519199925627566,-1.05070455531917,2.2,12.821
64.28,-0.516540879357064,0.521749383786143,-1.15600835983828,5.05,10.087
64.29,-0.534723872896205,0.565822242019647,-1.18207192228742,7.171,7.833
64.3,-0.571627445105653,0.620313855331988,-1.112842235018,8.243,6.24
64.31,-0.617277397760185,0.655108958273141,-1.01703312229637,8.387,5.529
64.32,-0.65104898312322,0.683693005451946,-0.970673505108808,7.72699999999764,5.54800000000061
64.33,-0.671670946871553,0.707905051909664,-0.982654652765493,6.066,5.977
64.34,-0.704731051572773,0.668562816854917,-1.00130799817078,3.306,6.747
64.35,-0.753884856211538,0.536199773486654,-0.989379056451066,-0.025,7.763
64.36,-0.795305673017517,0.396978398582039,-0.958285966935067,-2.763,8.573
64.37,-0.814399413679481,0.322511710969014,-0.940041159082667,-4.137,8.714
64.38,-0.807858897747356,0.270781600871723,-0.954879890490979,-4.529,8.028
64.39,-0.774233775134852,0.200562122565703,-1.01063966772171,-4.888,6.513
64.4,-0.724282731877913,0.122413307917153,-1.09327901137275,-5.543,4.179
64.41,-0.68471362112319,0.0342823220912872,-1.15024432507348,-5.971,1
64.42,-0.672493004646634,-0.0580012897569437,-1.13685286135763,-5.734,-3.038
64.43,-0.673802197617673,-0.139538323682303,-1.06608707699075,-5.352,-7.736
64.44,-0.665410897021934,-0.191165397849242,-0.988665932792083,-5.786,-12.697
64.45,-0.632257851587311,-0.226272583174345,-0.94284542226637,-7.125,-17.479
64.46,-0.575912821499944,-0.259960455612242,-0.922009216962654,-8.46200000000066,-21.8700000000056
64.47,-0.535936384528047,-0.251749302751201,-0.897072912487171,-8.929,-25.843
64.48,-0.540274118986393,-0.226502166384075,-0.867739084709634,-8.575,-29.273
64.49,-0.552216384259086,-0.276917929648227,-0.862813330840638,-7.948,-32.165
64.5,-0.537625391660388,-0.362761271715968,-0.887997805028182,-7.405,-34.988
64.51,-0.514797919842676,-0.412466687388206,-0.930130213388466,-7.107,-38.022
